id,encourageGenders
0,1
1,1
2,0
3,1
4,1
SA_01,0
SA_02,0
SA_03,1
SA_04,0
SA_05,0
SA_06,0
PM_01,0
PM_02,0
PM_03,0
PM_04,0
PM_05,1
PM_06,0
PM_07,0
SA_07,0
SA_08,1
SA_09,0
SA_10,0
SA_11,0
SA_12,0
SA_13,1
SA_14,1
SA_15,1
SA_16,0
SA_17,0
SA_18,0
SA_19,0
SA_20,0
SA_21,0
SA_22,0
SA_23,0
SA_24,0
SA_25,0
SA_26,0
SA_27,0
SA_28,0
SA_29,0
SA_30,0
SA_31,0
PM_08,0
PM_09,0
PM_10,0
PM_11,0
PM_12,0
PM_13,0
PM_14,0
PM_15,0
PM_16,1
PM_17,0
PM_18,0
PM_19,0
PM_20,1
PM_21,0
PM_22,0
PM_23,0
PM_24,0
PM_25,0
PM_26,0
PM_27,0
SP_01,0
SP_02,0
SP_03,0
SP_04,0
SP_05,0
SP_06,0
SP_07,0
SP_08,0
SP_09,0
SP_10,0
SP_11,0
SP_12,0
SP_13,0
SP_14,0
SP_15,0
SP_16,0
SP_17,0
SP_18,1
SP_19,0
SP_20,0
SP_21,0
SP_22,0
SP_23,0
SP_24,1
SP_25,0
SP_26,0
SP_27,0
SP_28,0
SP_29,0
ST_01,0
ST_02,0
ST_03,0
ST_04,0
ST_05,0
ST_06,1
ST_07,0
ST_08,0
ST_09,0
ST_10,0
ST_11,0
ST_12,0
ST_13,0
ST_14,0
ST_15,0
ST_16,0
ST_17,0
ST_18,0
ST_19,0
ST_20,0
ST_21,0
ST_22,0
ST_23,0
ST_24,0
ST_25,0
ST_26,1
ST_27,0
ST_28,0
ST_29,0
ST_30,0
SD_01,0
SD_02,0
SD_03,0
SD_04,0
SD_05,0
SD_06,0
SD_07,0
SD_08,0
SD_09,0
SD_10,0
SD_11,0
SD_12,0
SD_13,0
SD_14,0
SD_15,1
SD_16,0
SD_17,0
SD_18,0
SD_19,0
SD_20,0
SD_21,0
SD_22,0
SD_23,0
SD_24,0
SD_25,1
SD_26,1
SD_27,0
SD_28,1
SD_29,0
SD_30,0
SD_31,0
